Domains,Capabilities
Understand Cloud Usage & Cost,Data Ingestion
Understand Cloud Usage & Cost,Allocation
Understand Cloud Usage & Cost,Reporting & Analytics
Understand Cloud Usage & Cost,Anomaly Management
Quantify Business Value,Planning & Estimating
Quantify Business Value,Forecasting
Quantify Business Value,Budgeting
Quantify Business Value,Benchmarking
Quantify Business Value,Unit Economics
Optimize Cloud Usage & Cost,Architecting for Cloud
Optimize Cloud Usage & Cost,Workload Optimization
Optimize Cloud Usage & Cost,Licensing & SaaS
Optimize Cloud Usage & Cost,Rate Optimization
Optimize Cloud Usage & Cost,Cloud Sustainability
Manage the FinOps Practice,FinOps Practice Operations
Manage the FinOps Practice,FinOps Education & Enablement
Manage the FinOps Practice,Cloud Policy & Governance
Manage the FinOps Practice,Invoicing & Chargeback
Manage the FinOps Practice,FinOps Assessment
Manage the FinOps Practice,Onboarding Workloads
Manage the FinOps Practice,FinOps Tools & Services
Manage the FinOps Practice,Intersecting Disciplines
